股票代碼,公司簡稱,財務結構-負債佔資產比率(%),財務結構-長期資金佔不動產、廠房及設備比率(%),償債能力-流動比率(%),償債能力-速動比率(%),償債能力-利息保障倍數(%),經營能力-應收款項週轉率(次),經營能力-平均收現日數,經營能力-存貨週轉率(次),經營能力-平均售貨日數,經營能力-不動產、廠房及設備週轉率(次),經營能力-總資產週轉率(次),獲利能力-資產報酬率(%),獲利能力-權益報酬率(%),獲利能力-稅前純益佔實收資本比率(%),獲利能力-純益率(%),獲利能力-每股盈餘(元),現金流量-現金流量比率(%),現金流量-現金流量允當比率(%),現金流量-現金再投資比率(%)
3064,泰偉,71.43,56.85,44.08,41.53,-0.10,2.81,129.89,0.17,"2,147.05",0.41,0.22,-0.71,-8.74,-8.07,-11.75,-0.27,-1.95,-447.24,-2.13
3066,李洲,28.40,515.22,169.33,159.36,-9.29,2.96,123.31,3.35,108.95,0.84,0.13,-5.82,-10.53,-12.42,-48.84,-1.26,-5.96,167.42,-1.52
3067,全域,30.07,691.85,233.22,208.27,50.00,27.73,13.16,7.07,51.62,3.92,0.48,6.66,9.14,14.44,13.74,1.17,17.47,45.54,4.28
3071,協禧,52.00,389.00,149.16,124.67,9.97,3.64,100.27,5.14,71.01,4.06,0.62,3.89,6.99,17.71,5.53,1.21,31.62,111.21,14.41
3073,天方能源,66.38,229.76,117.40,110.48,-5.14,2.30,158.69,2.66,137.21,0.11,0.03,-2.21,-7.36,-8.77,-81.48,-0.99,15.13,16.19,5.75
3078,僑威,40.18,379.10,222.79,183.68,83.97,4.51,80.93,5.65,64.60,5.98,1.06,15.24,25.28,91.06,14.19,6.79,39.10,90.78,12.29
3081,聯亞,11.91,211.57,873.25,703.79,-50.71,3.05,119.67,2.50,146.00,0.51,0.22,-4.37,-5.15,-28.79,-20.03,-2.31,109.60,85.78,-1.13
3083,網龍,7.26,"93,369.75",827.10,814.99,無,無,無,無,無,164.26,0.25,0.08,0.08,0.69,0.30,0.01,-31.62,105.46,-2.33
3085,新零售,45.56,132.01,96.63,81.99,"-2,623.84",3.33,109.60,7.12,51.26,0.79,0.31,-22.00,-36.81,-18.19,-75.59,-1.75,-0.87,"-1,272.47",-0.41
3086,華義,8.20,558.38,969.78,926.29,359.71,5.04,72.42,45.54,8.01,2.37,0.40,9.34,10.26,14.13,23.47,1.41,97.22,264.66,3.40
3088,艾訊,38.71,237.26,282.82,165.26,"5,340.00",8.41,43.40,2.39,152.71,3.30,1.04,11.54,18.76,96.67,10.86,7.19,62.31,59.39,11.46
3093,港建*,30.56,440.89,273.43,248.81,"2,201.64",6.38,57.21,9.04,40.37,6.64,0.96,15.56,23.81,101.12,16.24,2.02,41.92,128.93,-15.79
3095,及成,91.35,146.49,173.54,138.97,59.78,4.36,83.71,6.11,59.73,0.94,0.52,0.60,-20.40,-8.45,-2.60,-1.16,14.51,96.82,2.63
3105,穩懋,48.89,180.26,134.89,91.47,-0.02,15.34,23.79,2.35,155.31,0.50,0.23,-0.04,-0.24,-16.02,-3.52,-0.19,33.56,80.69,4.45
