股票代碼,公司簡稱,償債能力-流動比率(%),償債能力-速動比率(%),償債能力-利息保障倍數(%),經營能力-應收款項週轉率(次),經營能力-平均收現日數,經營能力-存貨週轉率(次),經營能力-平均售貨日數,經營能力-不動產、廠房及設備週轉率(次),經營能力-總資產週轉率(次),獲利能力-資產報酬率(%),獲利能力-權益報酬率(%),獲利能力-稅前純益佔實收資本比率(%),獲利能力-純益率(%),獲利能力-每股盈餘(元)
4961,天鈺,533.27,472.61,"109,586.56",6.56,55.64,4.55,80.21,15.63,0.65,9.42,13.64,231.06,14.53,13.29
4967,十銓,132.17,66.94,9.01,9.01,40.51,5.17,70.59,48.38,2.55,4.10,11.09,41.78,1.43,3.38
4968,立積,290.51,223.59,"-4,340.15",2.76,132.24,3.02,120.86,15.40,0.90,-6.56,-9.72,-30.75,-7.45,-2.46
4976,佳凌,553.50,419.75,-42.06,4.72,77.33,2.19,166.66,0.92,0.29,-7.95,-9.96,-18.60,28.35,-1.91
4977,眾達-KY,271.27,242.44,43.04,7.90,46.20,2.30,158.69,4.34,0.35,6.70,8.78,40.67,18.90,4.26
4989,榮科,447.17,323.40,-59.58,4.24,86.08,5.79,63.03,8.20,1.20,-4.47,-5.83,-12.08,-3.75,-0.97
4994,傳奇,322.96,320.87,"6,634.89",9.71,37.59,無,無,628.59,0.83,8.16,11.63,24.57,9.61,1.69
4999,鑫禾,510.60,459.20,6.88,2.65,137.73,5.60,65.17,2.00,0.47,0.20,0.11,4.25,0.20,0.05
5007,三星,488.39,327.78,"2,080.05",4.86,75.10,2.62,139.31,2.22,0.75,11.70,14.08,43.42,15.27,3.38
5203,訊連,261.41,257.83,"150,778.82",15.46,23.60,54.90,6.64,4.31,0.33,3.85,4.88,38.75,11.91,2.81
5215,科嘉-KY,385.99,338.12,"6,579.77",2.73,133.69,5.39,67.71,2.52,0.56,4.17,5.32,50.77,7.28,2.75
5222,全訊,706.05,538.36,"17,885.06",6.99,52.21,1.22,299.18,2.79,0.49,17.32,20.49,71.24,34.90,5.88
5225,東科-KY,158.88,120.49,37.84,6.51,56.06,8.46,43.14,13.34,1.81,9.30,20.94,76.40,5.01,8.02
